"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PPGIJJGB_00030",232.396503281568,0.216560939627546,0.159308072909008,1.35938459158463,0.174024751136391,0.278339118381987
"PPGIJJGB_00031",0,NA,NA,NA,NA,NA
"PPGIJJGB_00032",226.021051300766,0.142240540152923,0.14637341110637,0.971764879138852,0.331167531789333,0.458810409781282
"PPGIJJGB_00033",815.332237682342,-0.336387499370389,0.079987888584222,-4.20548042115395,2.60528143121688e-05,9.51120865169126e-05
"PPGIJJGB_00034",281.982268341281,-2.19010315968228,0.153239021036354,-14.2920722468118,2.45203000299139e-46,3.9091356018913e-45
"PPGIJJGB_00035",583.07263847042,0.0908312390949086,0.0957012232800818,0.949112623451838,0.342563334761045,0.471356938733608
"PPGIJJGB_00036",1514.45014668267,0.66145535092243,0.134862894671557,4.90465040464489,9.35938826279732e-07,3.79860886270309e-06
"PPGIJJGB_00037",389.668843940604,-7.78266613758938,0.947616234423975,-8.21288814487249,2.1593068062068e-16,1.29851394370537e-15
"PPGIJJGB_00038",210.093541556703,-0.857938964000286,0.179397966904043,-4.78232266957173,1.73281231686058e-06,6.95006713875663e-06
"PPGIJJGB_00039",193.655732633193,-6.93168776045433,0.502097436890727,-13.8054633446832,2.3624859193876e-43,3.50185203836985e-42
"PPGIJJGB_00040",491.703538367468,-1.24987757022517,0.112287642023435,-11.1310340808859,8.86016251493838e-29,9.53112627820556e-28
"PPGIJJGB_00041",383.130550237106,-3.22679794399223,0.144605130215734,-22.3145467880581,2.66934364590584e-110,1.46055938748823e-108
"PPGIJJGB_00042",308.272726834339,0.0887729138460597,0.135385345744769,0.655705485388471,0.512013638778985,0.643392244703278
"PPGIJJGB_00043",316.421589703922,-0.958886545471691,0.127385006206275,-7.52746790245439,5.17337199684478e-14,2.86963513016471e-13
"PPGIJJGB_00044",309.635362595382,0.332015567330301,0.148143335175252,2.24117788989649,0.0250145544440206,0.0554322526479497
"PPGIJJGB_00045",1216.55615435343,0.00876925551266008,0.064059311745004,0.136892752572291,0.891115567515505,0.929276281230287
"PPGIJJGB_00046",413.23546212373,0.014504093424831,0.1126305726457,0.128775811790074,0.89753504553849,0.933773549724551
"PPGIJJGB_00047",549.029224727393,-3.15308017226957,0.122134022462742,-25.8165587990148,5.7797030486445e-147,6.24771802721767e-145
"PPGIJJGB_00048",522.01550743014,0.120568579695467,0.102241229513587,1.17925596424332,0.238296267368527,0.354762867644378
"PPGIJJGB_00049",1134.05060940636,0.170727436994298,0.0723227286297414,2.36063323700551,0.0182437634986002,0.0424442833731213
"PPGIJJGB_00050",766.193063047663,-0.0719328385595104,0.0826216765862446,-0.87062913186497,0.383956684748393,0.514885333375152
"PPGIJJGB_00051",1117.75187606095,-2.01940297804372,0.0917883469361194,-22.0006465466595,2.83902899393776e-107,1.46309029082932e-105
"PPGIJJGB_00052",248.203961124752,-0.0264996097999848,0.157970046958929,-0.167750850937421,0.866779289715768,0.91531232118663
"PPGIJJGB_00053",562.875756704214,0.390177220805718,0.110937683115787,3.51708463569123,0.000436314635501663,0.00139923767333095
"PPGIJJGB_00054",775.973087822805,0.0157533104106183,0.0819945889663385,0.19212621965927,0.847643337166267,0.902198672027112
"PPGIJJGB_00055",239.762027226509,0.236525573833363,0.14353039915433,1.64791274341153,0.0993705780032151,0.176278499435992
"PPGIJJGB_00056",100.097140116701,0.413112032488244,0.266675321300945,1.54911984533449,0.121352913105943,0.207734445054151
"PPGIJJGB_00057",233.160907373638,-0.130709832884528,0.15793875571151,-0.827598218661932,0.407898077423985,0.539804203984205
"PPGIJJGB_00058",1126.72322054208,0.386742921324494,0.0733938659364984,5.26941749681247,1.36857366040935e-07,5.79323635428296e-07
"PPGIJJGB_00059",1219.5209334142,-0.176214395813013,0.0630427709341789,-2.79515625981912,0.00518746348898489,0.0137834761290054
"PPGIJJGB_00060",325.981011869407,0.270858897384163,0.151079759556506,1.792820548426,0.0730016227318544,0.136228712398981
"PPGIJJGB_00061",769.896067389676,0.0637195125716034,0.0857801391579897,0.742823609253477,0.457588479729602,0.589887185038277
